STATUS | wrapper  | 2018/07/25 16:45:46 | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2018/07/25 17:16:54 | web - 2018-07-25 17:16:54,903 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer - Starting Web Server on port: 8092
INFO   | jvm 1    | 2018/07/25 17:16:55 | web - 2018-07-25 17:16:55,169 [WrapperSimpleAppMain] INFO  org.eclipse.jetty.server.Server - jetty-8.1.11.v20130520
INFO   | jvm 1    | 2018/07/25 17:16:55 | web - 2018-07-25 17:16:55,551 [WrapperSimpleAppMain] INFO  / - Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2018/07/25 17:17:02 | 17:17:02,591  INFO SchemaUpdate:105 - HHH000228: Running hbm2ddl schema update
INFO   | jvm 1    | 2018/07/25 17:17:10 | web - 2018-07-25 17:17:09,941 [WrapperSimpleAppMain] INFO  / - Initializing Spring FrameworkServlet 'mvc'
INFO   | jvm 1    | 2018/07/25 17:17:10 | web - 2018-07-25 17:17:10,317 [WrapperSimpleAppMain] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:8092
INFO   | jvm 1    | 2018/07/25 17:17:10 | web - 2018-07-25 17:17:10,318 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer - Web Server successfully started!
INFO   | jvm 1    | 2018/07/25 17:17:10 | web - 2018-07-25 17:17:10,318 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Context: /
INFO   | jvm 1    | 2018/07/25 17:17:10 | web - 2018-07-25 17:17:10,319 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Resource base: file:/home/super/wcbGiardi/wcbFinale/servizio/webapp/
INFO   | jvm 1    | 2018/07/25 17:17:10 | web - 2018-07-25 17:17:10,319 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Classpath: /home/super/wcbGiardi/wcbFinale/servizio/configs
INFO   | jvm 1    | 2018/07/25 17:17:10 | web - 2018-07-25 17:17:10,319 [WrapperSimpleAppMain] INFO  it.uniroma3.wcb.runner.WCBWebServer -  - Extra Classpath: ../../configs
